time,open,high,low,close,Volume
1647351000,320.88,328.95,319.23,328.15,76470991
1647437400,332.17,340.44,328.401,340.32,105242954
1647523800,338.37,344.5,337.0406,344.44,67809951
1647610200,342.74,351.79,341.55,351.49,85446347
1647869400,350.2,352.48,345.575,350.08,73799072
1647955800,350.59,357.85,350.2,356.96,63345928
1648042200,354.01,357.66,351.77,351.83,70615457
1648128600,353.8,359.7,351.5939,359.65,53555251
1648215000,359.59,360.67,354.9438,359.35,57584158
1648474200,359.34,365.01,358.07,364.91,56833866
1648560600,368.9,371.83,366.06,371.19,68072955
1648647000,369.275,370.98,365.57,367.09,68757710
1648733400,367.24,367.6,361.68,362.54,67011405
1648819800,362.81,363.61,358.59,361.85,54527761
1649079000,362.71,369.31,362.44,369.3,45950171
1649165400,367.81,368.54,359.93,361.1,62738661
1649251800,355.65,356.78,350.56,353.26,90077072
1649338200,352.24,356.35,348.69,354.1,63777373
1649424600,352.32,353.09,348.5,349.15,61956094
1649683800,344.81,345.75,340.535,340.89,66107401
1649770200,345.76,347.69,338.035,339.45,72790215
1649856600,339.8,347.43,339.06,346.35,61367755
1649943000,346.44,346.97,338.21,338.43,73519367
1650288600,337.35,341.04,335.791,338.69,58560555
1650375000,338.03,346.85,336.98,346.26,56515684
1650461400,347.09,347.56,339.96,341.21,65500022
1650547800,345.19,347.87,333.2,334.15,75801008
1650634200,334.31,335.56,324.96,325.4,82562145
1650893400,323.73,329.9,322.43,329.58,101755856
1650979800,327.47,327.66,316.855,317.14,105819629
1651066200,317.24,322.88,315,316.76,111204164
1651152600,321.85,329.89,317.52,328.01,99449957
1651239000,323.7,327.225,312.6,313.25,91977859
1651498200,312.83,318.72,309.645,318.48,115511770
1651584600,318.5,321.17,315.98,318.82,78185527
1651671000,319.31,330.29,313.891,329.6,116083395
1651757400,325.17,325.25,309.62,313,154607447
1651843800,310.95,315.09,305.105,309.25,139572805
1652103000,303.48,309.3487,295.72,297.15,113387342
1652189400,304.51,305.76,296.57,300.76,124124550
1652275800,298.44,304.09,290.95,291.84,140326148
1652362200,287.45,295.75,284.94,291.15,120910850
1652448600,295.72,302.999,294.0825,301.94,83684931
1652707800,300.15,302.26,297.13,298.44,59190432
1652794200,304.45,306.56,300.55,306.17,62715293
1652880600,301.54,302.25,289.85,291.14,79477109
